poi_name,poi_number,time_mmss,recoveries,aborts
TOTAL,,09:25,,
############## END ##############
sala_delle_guardie,1,00:44,0,0
sala_guidobono,2,01:39,14,0
sala_delle_feste,3,03:59,82,5
sala_4_stagioni,4,01:57,19,1
camera_di_madama_reale,5,00:59,4,0
TOTAL,,09:20,,
############## END ##############
sala_delle_guardie,1,01:09,14,0
sala_guidobono,2,00:52,4,0
sala_delle_feste,3,03:00,76,4
sala_4_stagioni,4,02:02,34,1
camera_di_madama_reale,5,00:59,0,0
TOTAL,,08:04,,
############## END ##############
sala_delle_guardie,1,01:05,14,0
sala_guidobono,2,00:44,0,0
sala_delle_feste,3,03:21,77,5
sala_4_stagioni,4,02:19,44,1
camera_di_madama_reale,5,00:59,0,0
TOTAL,,08:29,,
############## END ##############
